benchmark,dtype,variant,match_bits,relax_mode,budget,repetition,random_seed,driver_returncode,run_status,component_solve_status,solution_found,accepted_constraints,total_constraints,accepted_strict,accepted_final_strict,accepted_stage1,accepted_stage0,accepted_used_relaxation,true_skips,invalid_ground_truth_skips,used_relaxation,attempt_status_counts,solver_attempts,solver_runtime_seconds_total,solver_runtime_seconds_max,enum_count_primary_total,wall_seconds,luts,ffs,dsps,fmax_mhz,latency_ns,adp_lut_ns,within_rel_pct,abs_err_avg,abs_err_max,error_samples_npz
fp32_mul,FP32,V1,9,fixed,nominal,1,12345,0,solved,solved,True,29,30,29,29,0,0,0,1,0,False,"{'infeasible': 1, 'solved': 29}",30,11.854076093062758,0.6651820819824934,79674,107.85718250274658,34,0,3,87.283,11.457,389.538,0.1265,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_mul_v1_9b_r01.npz
fp32_mul,FP32,V1,9,fixed,nominal,2,12346,0,solved,solved,True,29,30,29,29,0,0,0,1,0,False,"{'infeasible': 1, 'solved': 29}",30,11.700706886127591,0.6769286766648293,76735,106.93884086608887,34,0,3,87.283,11.457,389.538,0.1265,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_mul_v1_9b_r02.npz
fp32_mul,FP32,V1,9,fixed,nominal,3,12347,0,solved,solved,True,29,30,29,29,0,0,0,1,0,False,"{'infeasible': 1, 'solved': 29}",30,11.910443285480142,0.6847946960479021,79368,107.53114128112793,34,0,3,87.283,11.457,389.538,0.1265,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_mul_v1_9b_r03.npz
fp32_mul,FP32,V1,19,fixed,nominal,1,12345,0,solved,solved,True,14,30,14,14,0,0,0,16,0,False,"{'infeasible': 5, 'solved': 14, 'timeout': 11}",30,2980.218463892117,180.25520466640592,8629996,3075.481101989746,21,0,2,87.283,11.457,240.597,0.9046,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_mul_v1_19b_r01.npz
fp32_mul,FP32,V1,19,fixed,nominal,2,12346,0,solved,solved,True,15,30,15,15,0,0,0,15,0,False,"{'infeasible': 1, 'solved': 15, 'timeout': 14}",30,3325.948297806084,180.24287416040897,6337154,3421.2996006011963,21,0,2,87.283,11.457,240.597,0.9046,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_mul_v1_19b_r02.npz
fp32_mul,FP32,V1,19,fixed,nominal,3,12347,0,solved,solved,True,15,30,15,15,0,0,0,15,0,False,"{'infeasible': 2, 'solved': 15, 'timeout': 13}",30,3412.2274151295424,180.25433050468564,8845065,3507.278082847595,21,0,2,87.283,11.457,240.597,0.9046,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_mul_v1_19b_r03.npz
fp32_mul,FP32,V1,24,fixed,nominal,1,12345,0,solved,solved,True,14,30,14,14,0,0,0,16,0,False,"{'infeasible': 5, 'solved': 14, 'timeout': 11}",30,2987.9514953754842,180.2687962539494,8689722,3082.8907985687256,21,0,2,87.283,11.457,240.597,0.9046,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_mul_v1_24b_r01.npz
fp32_mul,FP32,V1,24,fixed,nominal,2,12346,0,solved,solved,True,15,30,15,15,0,0,0,15,0,False,"{'infeasible': 1, 'solved': 15, 'timeout': 14}",30,3333.0276488773525,180.24507741257548,6337154,3428.2936322689056,21,0,2,87.283,11.457,240.597,0.9046,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_mul_v1_24b_r02.npz
fp32_mul,FP32,V1,24,fixed,nominal,3,12347,0,solved,solved,True,15,30,15,15,0,0,0,15,0,False,"{'infeasible': 2, 'solved': 15, 'timeout': 13}",30,3414.4596917573363,180.25600430555642,8845065,3509.796936273575,21,0,2,87.283,11.457,240.597,0.9046,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_mul_v1_24b_r03.npz
fp32_mul,FP32,V1,28,fixed,nominal,1,12345,0,solved,solved,True,14,30,14,14,0,0,0,16,0,False,"{'infeasible': 5, 'solved': 14, 'timeout': 11}",30,2985.227205870673,180.26609927602112,8689722,3080.5769879817963,21,0,2,87.283,11.457,240.597,0.9046,-1.0,-1.0,/home/josephluke/Program-Synthesis-for-Efficient-ML/results/relaxation_sweep/run1_normal_full/error_samples/fp32_mul_v1_28b_r01.npz
