benchmark,timeout,num_iterations,runs,solve_successes,solve_rate,mean_solver_runtime_s,mean_wall_seconds,mean_accepted_constraints,mean_accuracy_exact_match,mean_within_rel_pct,mean_luts,composite_score
mxint8_mul_combined,10,5,3,3,1.0,0.2071580501894156,70.02515927950542,2.6666666666666665,,0.7856333333333335,26.333333333333332,0.029834177215189883
mxint8_mul_combined,10,15,3,3,1.0,22.44130637558798,92.41128611564636,8.0,,0.7874666666666666,26.333333333333332,0.02990379746835443
mxint8_mul_combined,10,30,3,3,1.0,80.50771809058885,150.52845788002014,16.333333333333332,,0.7875333333333333,26.333333333333332,0.02990632911392405
mxint8_mul_combined,60,5,3,3,1.0,0.2078877699871858,70.3493139743805,2.6666666666666665,,0.7860999999999999,26.333333333333332,0.029851898734177214
mxint8_mul_combined,60,15,3,3,1.0,43.579031978423394,113.63232390085857,8.0,,0.7853,26.333333333333332,0.029821518987341773
mxint8_mul_combined,60,30,3,3,1.0,210.91137120996913,281.0105341275533,16.333333333333332,,0.7867666666666665,26.333333333333332,0.029877215189873414
mxint8_mul_combined,300,5,3,3,1.0,0.2072854054470857,70.13196746508281,2.6666666666666665,,0.7860333333333335,26.333333333333332,0.029849367088607602
mxint8_mul_combined,300,15,3,3,1.0,43.55139585956931,113.59775098164876,8.0,,0.7853,26.333333333333332,0.029821518987341773
mxint8_mul_combined,300,30,3,3,1.0,207.29902770991126,276.680393298467,16.333333333333332,,0.7859333333333334,26.333333333333332,0.029845569620253167
mxint8_mul_sub,10,5,3,0,0.0,,7.219935337702434,,,,,
mxint8_mul_sub,10,15,3,0,0.0,,47.50362809499105,,,,,
mxint8_mul_sub,10,30,3,0,0.0,,134.10405468940735,,,,,
